,ID,filename,Canonical SMILES,PubChem ID
37,Mol_046,Mol_046.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)C([H])([H])c2c([H])c(OC([H])([H])[H])c([H])c([H])c2OC([H])([H])[H])C1([H])[H],167927233
38,Mol_047,Mol_047.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c3c2C([H])([H])C([H])([H])C([H])([H])C3([H])[H])C([H])([H])C1([H])[H],167949965
39,Mol_048,Mol_048.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c3c2OC([H])([H])C([H])([H])O3)C([H])([H])C1([H])[H],167762911
40,Mol_049,Mol_049.xyz,FS(=O)(=O)C([H])([H])C1([H])C([H])([H])C([H])([H])N(C(=O)C2([H])C([H])([H])Oc3c([H])c([H])c([H])c([H])c3C2([H])[H])C([H])([H])C1([H])[H],167884170
41,Mol_050,Mol_050.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)C([H])([H])c2c([H])c([H])c(Cl)c([H])c2[H])C([H])([H])C1([H])[H],167764131
42,Mol_051,Mol_051.xyz,FS(=O)(=O)C1([H])C([H])([H])N(C(=O)c2c([H])c([H])c(C([H])([H])[H])c(C([H])([H])[H])c2[H])C([H])([H])C1([H])[H],167944933
43,Mol_052,Mol_052.xyz,FS(=O)(=O)c1c([H])c(C(=O)O[H])c([H])c2c1OC([H])([H])C2([H])[H],167734323
44,Mol_053,Mol_053.xyz,C1CC[C@H]([C@H](C1)C#N)S(=O)(=O)F,167716307
45,Mol_054,Mol_054.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c2c(Cl)c([H])c(C([H])([H])[H])nc12,165904532
46,Mol_055,Mol_055.xyz,FS(=O)(=O)c1c([H])nc(N([H])C2([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],167826279
47,Mol_056,Mol_056.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])[C@]([H])(O[H])C2([H])[H])c([H])c1[H],167851581
48,Mol_057,Mol_057.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c([H])c1[H],167752229
49,Mol_058,Mol_058.xyz,FS(=O)(=O)c1c([H])nc(N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],167911485
50,Mol_059,Mol_059.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)Oc2c([H])c([H])c3c(c2[H])OC(=O)C([H])([H])C3([H])C([H])([H])[H])c([H])c1Cl,167916132
51,Mol_060,Mol_060.xyz,FS(=O)(=O)c1c([H])c([H])c(OC([H])([H])[H])c(C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])C([H])([H])C([H])([H])C(=O)O[H])c1[H],167842729
52,Mol_061,Mol_061.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)OC([H])([H])c2c([H])c([H])c([H])c([N+](=O)[O-])c2[H])c([H])c1Cl,167795767
53,Mol_062,Mol_062.xyz,FS(=O)(=O)c1c([H])c([H])c([H])c(C(=O)N2C([H])([H])C([H])([H])C3(C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])(C(=O)O[H])C([H])([H])C3([H])[H])c1[H],167810823
54,Mol_063,Mol_063.xyz,FS(=O)(=O)c1c([H])c([H])c(C(=O)O[H])c(O[H])c1[H],15124193
55,Mol_064,Mol_064.xyz,FS(=O)(=O)c1c([H])c([H])c(OC([H])([H])C(=O)O[H])c([H])c1[H],23274144
